type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id;minage;maxage;;;;;;;;;;
3;általános iskola;733902;100003;46,239323;20,135258;500;3733902100003;22;65;;;;;;;;;;
3;általános iskola;736668;102729;46,263492;20,171622;500;3736668102729;22;65;;;;;;;;;;
3;általános iskola;735122;103911;46,274322;20,151789;500;3735122103911;22;65;;;;;;;;;;
3;általános iskola;734763;101817;46,255532;20,14675;500;3734763101817;22;65;;;;;;;;;;
3;általános iskola;732141;99632;46,236204;20,112364;500;373214199632;22;65;;;;;;;;;;
3;általános iskola;735909;103773;46,27298;20,161972;500;3735909103773;22;65;;;;;;;;;;
3;általános iskola;736222;103694;46,272229;20,166017;500;3736222103694;22;65;;;;;;;;;;
3;általános iskola;728180;103894;46,275015;20,061735;500;3728180103894;22;65;;;;;;;;;;
3;általános iskola;735665;100545;46,243976;20,158212;500;3735665100545;22;65;;;;;;;;;;
3;általános iskola;738710;97718;46,218151;20,19715;500;373871097718;22;65;;;;;;;;;;
3;általános iskola;738373;102357;46,259923;20,193664;500;3738373102357;22;65;;;;;;;;;;
3;általános iskola;733894;103147;46,267605;20,135721;500;3733894103147;22;65;;;;;;;;;;
3;általános iskola;735576;100930;46,24745;20,157129;500;3735576100930;22;65;;;;;;;;;;
3;általános iskola;735533;102253;46,259356;20,156815;500;3735533102253;22;65;;;;;;;;;;
3;általános iskola;734152;100777;46,246254;20,138639;500;3734152100777;22;65;;;;;;;;;;
3;általános iskola;737387;102768;46,263749;20,180954;500;3737387102768;22;65;;;;;;;;;;
3;általános iskola;734305;101237;46,250373;20,140706;500;3734305101237;22;65;;;;;;;;;;
3;általános iskola;733228;102215;46,259304;20,126916;500;3733228102215;22;65;;;;;;;;;;
3;általános iskola;734018;101993;46,257209;20,137121;500;3734018101993;22;65;;;;;;;;;;
3;általános iskola;735455;102240;46,259249;20,155801;500;3735455102240;22;65;;;;;;;;;;
3;általános iskola;548478;107951;46,308355;17,729535;500;3548478107951;22;65;;;;;;;;;;
