type;subtype;EOVX;EOVY;LAT;LON;capacity;id;id0;minage;maxage;risk
4;csomagpont;735072;103758;46,272952;20,151112;1;223474;735072103758;18;65;1
4;csomagpont;736218;104039;46,275333;20,166029;1;223475;736218104039;18;65;1
4;csomagpont;735643;103074;46,266727;20,158393;1;223476;735643103074;18;65;1
4;csomagpont;735014;102055;46,257641;20,150048;1;223477;735014102055;18;65;1
4;csomagpont;736375;101285;46,250541;20,167554;1;223478;736375101285;18;65;1
4;csomagpont;733232;102127;46,258512;20,126953;1;223479;733232102127;18;65;1
4;csomagpont;728284;103831;46,274436;20,063073;1;223480;728284103831;18;65;1
4;csomagpont;738672;98030;46,220963;20,196717;1;223481;73867298030;18;65;1
4;csomagpont;738918;102208;46,258511;20,200703;1;223482;738918102208;18;65;1
4;csomagpont;732548;102888;46,265442;20,118218;1;177587;732548102888;18;65;1
4;csomagpont;734256;101363;46,251512;20,140093;1;177589;734256101363;18;65;1
4;csomagpont;734514;100078;46,239921;20,143205;1;177590;734514100078;18;65;1
4;csomagpont;733359;103025;46,266574;20,12876;1;177592;733359103025;18;65;1
4;csomagpont;734177;101655;46,254149;20,139122;1;177593;734177101655;18;65;1
4;csomagpont;734177;101655;46,254149;20,139122;1;177594;734177101655;18;65;1
4;csomagpont;735527;103778;46,273074;20,157018;1;177595;735527103778;18;65;1
4;csomagpont;734119;103231;46,268332;20,138655;1;177596;734119103231;18;65;1
4;csomagpont;734119;103231;46,268332;20,138655;1;177597;734119103231;18;65;1
4;csomagpont;731446;103956;46,275183;20,104112;1;177599;731446103956;18;65;1
4;csomagpont;735546;102000;46,257079;20,156937;1;177601;735546102000;18;65;1
4;csomagpont;731750;103028;46,266799;20,107892;1;206457;731750103028;18;65;1
4;csomagpont;732650;101580;46,253664;20,119308;1;206458;732650101580;18;65;1
4;csomagpont;734177;101655;46,254149;20,139122;1;206459;734177101655;18;65;1
4;csomagpont;738037;98531;46,225553;20,188582;1;206460;73803798531;18;65;1
4;csomagpont;734140;102024;46,257472;20,138709;1;206461;734140102024;18;65;1
4;csomagpont;734717;101802;46,255403;20,146151;1;219404;734717101802;18;65;1
4;gyógyfürdő;734984;101876;46,256035;20,149626;50;15816;734984101876;18;65;1
4;gyógyfürdő;735701;101179;46,249674;20,158796;50;15823;735701101179;18;65;1
13;határátkelő;731016;101483;46,252991;20,098103;20;29381;731016101483;22;65;1
13;határátkelő;735547;101812;46,255387;20,156915;20;29385;735547101812;22;65;1
13;határvédelmi szerv (határőr igazgatóság, határőrizeti kirendeltség);734130;101204;46,250098;20,138431;50;98735;734130101204;22;65;1
